procuringEntity_name,monto_total,num_procesos
HOSPITAL GENERAL MONTE SINAI,5106612.92,62
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SALITRE,5100494.37,108
UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA,5077093.56,203
COORDINACIÓN ZONAL 8 - SALUD,5066363.38,41
UNIVERSIDAD DE INVESTIGACIÓN DE TECNOLOGÍA EXPERIMENTAL YACHAY,5047952.15,186
"COORDINACION ZONAL DE EDUCACION, ZONA 3",5027246.74,730
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON GUALACEO,5021481.87,54
EMPRESA ELECTRICA PROVINCIAL GALAPAGOS S.A. ,4980900.13,96
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL LA TRONCAL,4940460.34,265
EMPRESA PUBLICA MUNICIPAL DE ACCION SOCIAL Y EDUCACION DE GUAYAQUIL,4938586.74,52
Municipio El Chaco,4914405.83,129
Gobierno Autónomo Descentralizado Municipal de Limón Indanza,4910350.7,160
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SANTA ANA DE COTACACHI,4910168.42,86
"Escuela Superior Politecnica Agropecuaria de Manabi ""Manuel Felix Lopez""",4907343.08,135
HOSPITAL JOSE MARIA VELASCO IBARRA DE TENA,4894515.88,98
UNIVERSIDAD TÉCNICA DE AMBATO,4856648.41,343
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CASCALES,4787983.51,32
HOSPITAL PROVINCIAL GENERAL DOCENTE RIOBAMBA,4742276.68,195
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SANTA ROSA,4736833.36,89
CONSEJO DE GOBIERNO DEL REGIMEN ESPECIAL DE GALAPAGOS,4725067.74,52
MUNICIPIO DE LORETO,4700536.29,85
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,4691882.15,379
GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PAUTE,4638624.33,378
EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE SANTO DOMINGO,4605755.35,135
ACERIAS NACIONALES DEL ECUADOR SOCIEDAD ANONIMA (A.N.D.E.C.),4551758.34,98
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON GUAMOTE,4539892.89,328
DIRECCION DISTRITAL 17D03,4518890.16,17
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON LATACUNGA,4492202.74,77
Coordinación de Educación Zonal 6,4419540.4,318
HOSPITAL DOCENTE DE AMBATO,4419206.2700000005,221
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE CHONTA PUNTA,4415546.699999999,12
COORDINACION ZONAL 1 - EDUCACION,4397484.63,343
GOBIERNO MUNICIPAL DE MOCACHE,4332825.24,30
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL LOS ENCUENTROS,4311620.25,9
DIRECCION DISTRITAL 12D01-BABA-BABAHOYO-MONTALVO- LOS RIOS-MIT,4307769.34,3
GOBIERNO MUNICIPAL DEL CANTON PABLO SEXTO,4284735.23,195
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON VINCES GADMV,4254967.14,129
INSTITUTO GEOGRAFICO MILITAR,4199027.0,124
HOSPITAL GENERAL QUEVEDO,4173909.08,157
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE TIWINTZA,4162317.73,23
"COORDINACION ZONAL DE EDUCACION,ZONA7",4146797.63,457
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPALDE SANTIAGO DE PILLARO,4126535.78,159
MINISTERIO DE INFRAESTRUCTURA Y TRANSPORTE MIT,4100451.19,39
CENTRO DE ESPECIALIDADES CENTRAL GUAYAS,3991501.25,169
Universidad Estatal del Sur de Manabí,3925358.42,205
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DÍA CENTRAL QUITO,3898964.2199999997,244
"CONSEJO MUNICIPAL DE SEGURIDAD CIUDADANA DE AMBATO ""COMSECA""",3882979.21,23
DIRECCION DISTRITAL 09D04 - FEBRES CORDERO - SALUD,3881014.3,52
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON COLTA,3879575.42,238
Empresa Pública Municipal de Tránsito y Movilidad de Durán,3868014.05,43
GAD MUNICIPAL DE AZOGUES,3821461.09,190
COMISION DE TRÁNSITO DEL ECUADOR,3801309.21,38
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL INTERCULTURAL DE  SARAGURO,3725938.52,99
HOSPITAL GENERAL ESMERALDAS SUR-DELFINA TORRES DE CONCHA,3708829.06,155
EMPRESA PUBLICA DE SERVICIOS GENERALES E INGENIERIA UTM,3708633.67,49
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON PAJAN,3681962.8,41
EMPRESA ELECTRICA PROVINCIAL COTOPAXI SA ELEPCOSA,3672335.99,2
MIES,3662637.35,36
EMPRESA PUBLICA FLOTA PETROLERA ECUATORIANA -EP FLOPEC-,3639164.41,44
"EMPRESA PUBLICA MUNICIPAL DE TRANSPORTE TERRESTRE, TRANSITO, SEGURIDAD VIAL Y TERMINALES TERRESTRES DE SANTO DOMINGO EPMT-SD",3628789.97,37
DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS,3597250.6799999997,21
ISSFA,3520759.01,228
GOBIERNO MUNICIPAL DEL CANTON HUAMBOYA,3516540.79,341
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE FATIMA,3512551.35,54
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CATAMAYO,3500612.61,100
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA,3499351.98,207
HOSPITAL RODRIGUEZ ZAMBRANO MANTA,3498955.67,13
DIRECCION DISTRITAL 17D06 CHILIBULO A LLOA SALUD,3496455.01,17
COORDINACIÓN ZONAL 4-SALUD,3482611.72,82
Universidad Estatal Amazonica,3478347.09,113
"EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE, ALCANTARILLADO, MANEJO PLUVIAL Y DEPURACION DE RESIDUOS LIQUIDOS DEL CANTON MANTA",3475404.9299999997,34
