mes,mes_numero,provincia,monto_total,num_procesos
septiembre,9,Esmeraldas,10356314.78,202
septiembre,9,Galápagos,742145.61,11
septiembre,9,Guayas,98182806.51,1579
septiembre,9,Imbabura,6159720.96,561
septiembre,9,Loja,5607481.49,629
septiembre,9,Los Ríos,8141912.34,214
septiembre,9,Manabí,25181602.03,511
septiembre,9,Morona Santiago,2921748.7800000003,452
septiembre,9,Napo,17661244.39,341
septiembre,9,Orellana,6439219.4399999995,92
septiembre,9,Pastaza,6168133.84,228
septiembre,9,Pichincha,142618919.79,2687
septiembre,9,Santa Elena,530910.25,31
septiembre,9,Santo Domingo de los Tsáchilas,2078864.62,23
septiembre,9,Sucumbíos,5770660.5600000005,298
septiembre,9,Tungurahua,4589145.66,626
septiembre,9,Zamora Chinchipe,9073586.48,184
